LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
12.89338,75.22759,1.09,0.221067221,589.5,916,1236,1480,1858.5,2326,2580,2618.5,2877.5,3122,3126,2391.5,3,0.769814909,0.25660497,0.270157725,0.024756061,0.221872628,0.277784556,0.055911928,0.221872628,0.221872628,3,0.000612863
12.8498,74.9859,0.73,0.280479373,1222,1070,1345,1631,2047.5,2447,2733.5,2700,3068.5,3151,4365.5,3092,3,0.799015522,0.266338507,0.273569614,0.013951217,0.246825218,0.27862069,0.031795472,0.246825218,0.246825218,3,0.000194636
12.8498,74.9859,1.16,0.280479373,1222,1070,1345,1631,2047.5,2447,2733.5,2700,3068.5,3151,4365.5,3092,3,0.799015522,0.266338507,0.273569614,0.013951217,0.246825218,0.27862069,0.031795472,0.246825218,0.246825218,3,0.000194636
12.89521,75.225628,0.37,0.180340557,656,985.5,1495,2611,2776,3200,3318,3242,3334,3285.5,4093,2748,4,0.744041339,0.186010335,0.17793677,0.061561677,0.107807964,0.280359834,0.17255187,0.107807964,0.107807964,4,0.00378984
12.85697,74.9747,0.8,0.282507583,833,1321,1837,2189,2636.5,2942.5,3236,3211,3413.5,3188.5,4138.5,3170.5,2,0.471766829,0.235883415,0.235883415,0.046624154,0.189259261,0.282507569,0.093248308,0.189259261,0.189259261,2,0.002173812
12.87249,75.2508,0.93,0.157520407,703,1166,1609,2315,2480,3170.5,3460.5,3554,3551.5,3297.5,3942.5,2571,4,0.896691427,0.224172857,0.225593902,0.047270392,0.157520413,0.287983209,0.130462795,0.157520413,0.157520413,4,0.00223449
12.872499,75.250821,1.23,0.157520407,703,956.5,1322,1782,2480,3170.5,3460.5,3223.5,3551.5,3297.5,3942.5,2571,4,0.896691427,0.224172857,0.225593902,0.047270392,0.157520413,0.287983209,0.130462795,0.157520413,0.157520413,4,0.00223449
12.846098,74.98332,0.85,0.289719626,565.5,1093,1414,1748,1615,2749,3147.5,3174,3456.5,3277.5,2836.5,1761,2,0.560781896,0.280390948,0.280390948,0.009328663,0.271062285,0.289719611,0.018657327,0.271062285,0.271062285,2,8.70E-05
12.846098,74.98332,0.45,0.289719626,565.5,1093,1414,1748,1615,2749,3147.5,3174,3456.5,3277.5,2836.5,1761,2,0.560781896,0.280390948,0.280390948,0.009328663,0.271062285,0.289719611,0.018657327,0.271062285,0.271062285,2,8.70E-05
12.876217,75.234327,0.23,0.233648542,567,2121,2313,2683,2253.5,2736.5,3060.5,3520,3203,3080.5,3662,2917,3,0.617673174,0.205891058,0.190040559,0.065374487,0.134934708,0.292697906,0.157763198,0.134934708,0.134934708,3,0.004273824
12.84743,74.98765,0.74,0.251464435,633.5,1007.5,1356,1762,2115.5,2553.5,2849,3079,3257.5,3180,4224.5,3104.5,4,1.075865895,0.268966474,0.26519312,0.016250424,0.251464427,0.294015229,0.042550802,0.251464427,0.251464427,4,0.000264076
